Sale_Price,No of Bedrooms,No of Bathrooms,No of Floors,Flat Area (in Sqft),Lot Area (in Sqft),Age of House (in Years),Area of the House from Basement (in Sqft),Basement Area (in Sqft),Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),No of Times Visited,Overall Grade,Year since Renovation,Waterfront_view_Yes,Ever_Renovated_Yes,House_conditions_Fair,House_conditions_Okay,Zipcode_Group_Zipcode_Group_1,Zipcode_Group_Zipcode_Group_2,Zipcode_Group_Zipcode_Group_3,Zipcode_Group_Zipcode_Group_4,Zipcode_Group_Zipcode_Group_5,Zipcode_Group_Zipcode_Group_6,Zipcode_Group_Zipcode_Group_7,Zipcode_Group_Zipcode_Group_8,Zipcode_Group_Zipcode_Group_9
221900,3,1,1,1180,5650,63,1180,0,47.5112,-122.257,1340,5650,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
538000,3,2.25,2,2570,7242,67,2170,400,47.721,-122.319,1690,7639,0,7,26,0,1,1,0,0,1,0,0,0,0,0,0,0
180000,2,1,1,770,10000,85,770,0,47.7379,-122.233,2720,8062,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0
604000,4,3,1,1960,5000,53,1050,910,47.5208,-122.393,1360,5000,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0
510000,3,2,1,1680,8080,31,1680,0,47.6168,-122.045,1800,7503,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1129743.75,4,3.625,1,4230,19158.125,17,3740,1400,47.6561,-122.005,3665,17561.25,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0
257500,3,2.25,2,1715,6819,23,1715,0,47.3097,-122.327,2238,6819,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
291850,3,1.5,1,1060,9711,55,1060,0,47.4095,-122.315,1650,9711,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
229500,3,1,1,1780,7470,58,1050,730,47.5123,-122.337,1780,8113,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
323000,3,2.5,2,1890,6560,15,1890,0,47.3684,-122.031,2390,7570,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
662500,3,2.5,1,3560,9796,53,1860,1400,47.6007,-122.145,2210,8925,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
468000,2,1,1,1160,6000,76,860,300,47.69,-122.292,1330,6000,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
310000,3,1,1.5,1430,19158.125,91,1430,0,47.7558,-122.229,1780,12697,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0
400000,3,1.75,1,1370,9680,41,1370,0,47.6127,-122.045,1370,10208,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
530000,5,2,1.5,1810,4850,118,1810,0,47.67,-122.394,1360,4850,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
650000,4,3,2,2950,5000,39,1980,970,47.5714,-122.375,2140,4000,3,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0
395000,3,2,2,1890,14040,24,1890,0,47.7277,-121.962,1890,14018,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0
485000,4,1,1.5,1600,4300,102,1600,0,47.6648,-122.343,1610,4300,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
189000,2,1,1,1200,9850,97,1200,0,47.3089,-122.21,1060,5095,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230000,3,1,1,1250,9774,49,1250,0,47.3343,-122.306,1280,8850,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
385000,4,1.75,1,1620,4980,71,860,760,47.7025,-122.341,1400,4980,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
